Bid_Number,Contract_Number,test column,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
V3WO195C,130313,test 1,EMC CORPORATION Bid# V3WO195C,20130416,20130416,SSE,EMC CORPORATION,MDO-OFFICE OF TECHNOLOGY,"$34,995.62",,34995.62
S3XW929S,130315,test 2,TELEDYNE INSTRUMENTS INC Bid# S3XW929S,20130417,20130417,SSE,TELEDYNE INSTRUMENTS INC,WATER,"$68,604.00",,68604
4501GCOR,D11410,,LITTLE BUILDERS Bid# 4501GCOR,20130529,20130528,PW,LITTLE BUILDERS,FIRE,"$45,701.15",,188557.31
NJPA0629,130363,,TYCO INTEGRATED SECURITY LLCBid # NJPA0629,20130221,20130720,SSE,TYCO INTEGRATED SECURITY LLC,SS&E,1060000,,
00007313,130396,,APPLE AUTOMOTIVE GROUP INCBid # 00007313,20130410,20130731,SSE,APPLE AUTOMOTIVE GROUP INC,SS&E,250000,,
S3610-08,B20544,,XEROX CORPBid # S3610-08,20110804,20130731,SSE,XEROX CORP,SS&E,2506000,36,"$53,394.42"
S6810-02,120164,,INTERNATIONAL SALT COMPANY LLCBid # S6810-02,20110801,20130731,SSE,INTERNATIONAL SALT COMPANY LLC,SS&E,5000000,00,$29.41
S1Z56600,110003,,# 2 Fuel Oil,20100801,20130731,SSE,F C HAAB COMPANY INC,SS&E,3510512,24,"$51,379.56"
S0YL508S,100127,,Maintenance for Safeport Vessel Traffic Information System (VTIS) Hardware and Software Support,20090801,20130731,SSE,OBSERVATION TECHNOLOGIES INC,SS&E,210636,36,
S0XL7380,100130,,Scale Maintenance,20090801,20130731,SSE,ADVANCE SCALE COMPANY INC,SS&E,170001,36,"$1,537.65"
S0HM8070,100108,,Manage & Operate Sludge Barges/Transport Sludge & Supply Equipment,20090701,20130731,SSE,KIRBY OFFSHORE MARINE INC,SS&E,10968200,02,"$379,064.39"
S0Z56100,090417,,Tire Skid Chains and Accessories - Schedule 39,20090605,20130731,SSE,BALTIMORE AUTO SUPPLY CO,SS&E,550001,36,
S9Z55750,090389,,Custodial Services for the City of Philadelphia Police Department Districts;  Schedule 101-03,20090601,20130731,SSE,A B M JANITORIAL SERVICES MID ATLANTIC I,SS&E,4500919.75,03,"$160,306.00"
S9YL4010,090309,,Repair and Maintenance of Besam Automated Entrance Equipment,20090206,20130731,SSE,ASSA ABLOY ENTRANCE SYSTEMS US INC,SS&E,825840,03,"$32,870.41"
S3610-01,A20801,,XEROX CORPBid # S3610-01,20080101,20130731,SSE,XEROX CORP,SS&E,2000000,,"$2,856.10"
S3YQ0520,130069,,Inspection and Repair to Airport Crash Rescue Equipment,20120701,20130806,SSE,EMERGENCY PRODUCTS INC,SS&E,345077,36,"$12,950.00"
S4VK866C,140084,,PLAYPOWER LT FARMINGTON INC Bid# S4VK866C,20130827,20130814,SSE,PLAYPOWER LT FARMINGTON INC,RECREATION,"$95,860.20",,95860.2
S4YO823F,140032,,Carousel House: Summer Lunch Program,20130701,20130823,SSE,C B M FOOD SERVICES INC,SS&E,30001,,"$11,750.00"
S3Z59500,130340,,Lumber,20130301,20130831,SSE,TAGUE LUMBER INC,SS&E,82489.78,00,"$69,640.50"
00010144,130286,,DAY FORD INCBid # 00010144,20130122,20130831,SSE,DAY FORD INC,SS&E,600000,36,
00010145,130287,,HERTRICH FLEET SERVICES INCBid # 00010145,20130122,20130831,SSE,HERTRICH FLEET SERVICES INC,SS&E,600000,36,
00010456,130288,,HERTRICH FLEET SERVICES INCBid # 00010456,20130122,20130831,SSE,HERTRICH FLEET SERVICES INC,SS&E,600000,36,
00010458,130285,,DAY CHEVROLETBid # 00010458,20130117,20130831,SSE,DAY CHEVROLET,SS&E,680000,36,"$194,794.20"
S2Z57380,120013,,Anti-Freeze and Heat Transfer Fluids,20110701,20130831,SSE,TRI COUNTY PETROLEUM INC,SS&E,332588,01,"$11,806.80"
T0Z5619L,100263,,"Snow Clearance & Removal - N.E. Airport, Schedule 176-02",20091222,20130831,SSE,JAMES D MORRISSEY INC,SS&E,199500,36,
S0Z55910,100023,,Maintenance Service for Hydronic and Steam Systems,20090901,20130831,SSE,CASCADE WATER SERVICES INC,SS&E,200000.01,36,"$2,250.00"
S0Z55820,100094,,AMS Lab Gases,20090901,20130831,SSE,PRAXAIR DISTRIBUTION MID ATLANTIC LLC,SS&E,150001,36,"$6,551.61"
S0Z56070,100129,,Overhead Door and Gate Maintenance - Schedule 405,20090901,20130831,SSE,SET RITE CORP,SS&E,2300618,36,"$51,189.28"
S0Z56200,100192,,Snow Removal - Philadelphia International Airport,20090901,20130831,SSE,PREMIER CONCRETE INC,SS&E,3413360,36,"$71,985.00"
T0Z55820,A00147,,LINDE GAS NORTH AMERICA LLCBid # T0Z55820,20090901,20130831,SSE,LINDE GAS NORTH AMERICA LLC,SS&E,160001,36,
S9XY8310,090400,,Survivor LED Streamlight - Fire Department,20090615,20130831,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,392015,36,"$1,663.80"
T9XY8290,090316,,Self-Contained Breathing Apparatus And Componets,20090601,20130831,SSE,SAFEWARE INC,SS&E,1695161.92,03,"$27,948.06"
A9YL4030,090373,,Disposal of International Quarantined Material,20090601,20130831,SSE,AVA GROUP INC,SS&E,1083500,03,"$36,460.00"
S9Z55760,090394,,GENERAL VEHICLE REPAIR SERVICES,20090601,20130831,SSE,PIRTEK  SOUTH PHILADELPHIA,SS&E,30001,33,"$54,912.50"
A9YN157L,090378,,"Diagnosis, Maintenance, and Repair of Philadelphia Fire Boat Independence",20090505,20130831,SSE,FLAG SERVICE & MAINTENANCE INC,SS&E,30001,36,
S1Z4456S,060096,,"Cellular Digital Packet Data Service, schedule 500-02",20050801,20130831,SSE,CELLCO PARTNERSHIP,SS&E,8300000,01,"$100,577.13"
00006026,130408,,J C B INCBid # 00006026,20130514,20130930,SSE,J C B INC,SS&E,175000,,
00006044,130409,,UNITED RENTALS NORTH AMERICA INCBid # 00006044,20130509,20130930,SSE,UNITED RENTALS NORTH AMERICA INC,SS&E,175000,,"$46,675.44"
T0QG8130,A00181,,SINGLE POINT SOURCING LLCBid # T0QG8130,20121211,20130930,SSE,SINGLE POINT SOURCING LLC,SS&E,353766,02,"$2,165.05"
00006019,130188,,EAGLE POWER & EQUIPMENT CORPBid # 00006019,20121023,20130930,SSE,EAGLE POWER & EQUIPMENT CORP,SS&E,100000,,
T3Z58650,130098,,"WATER TREATMENT CHEMICALS, SCH. 60",20121001,20130930,SSE,CARMEUSE LIME INC,SS&E,2139950,,"$385,164.89"
S3Z58650,130119,,"WATER TREATMENT CHEMICALS, SCH. 60",20121001,20130930,SSE,TANNER INDUSTRIES INCORPORATED,SS&E,432350,,"$6,277,508.24"
